B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLOUDY_PIXEL_PERCENTAGE,MEAN_SOLAR_ZENITH_ANGLE,NODATA_PIXEL_PERCENTAGE,SENSING_ORBIT_NUMBER,SPACECRAFT_NAME,date,lat,lon,PID
659,3881,2896,974,1570,2192,2564,2960,3264,3166,3507,3550,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.28244770270922,70.82715155726962,ID_zDkYD2
659,3881,2896,902,1434,1958,2564,2960,3264,3228,3507,3550,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.28244812039409,70.82724437886274,ID_zDkYD2
768,4912,4189,1124,1748,2370,2635,2888,3012,3016,3134,3064,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.29201816172838,70.8460531635362,ID_opwWz0
768,4829,4190,1084,1682,2268,2592,2715,2869,2884,3004,3064,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.2919277601996,70.84604022203087,ID_opwWz0
768,4930,4093,1142,1728,2376,2684,2844,3088,3066,3176,3064,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.29192817127196,70.84613304714125,ID_opwWz0
568,2928,2047,579,869,1210,1777,2209,2410,2332,2647,2588,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.31101745861666,70.87280360945877,ID_8lrn2I
568,2928,2047,647,946,1212,1777,2209,2410,2368,2647,2588,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.311017860788795,70.87289644195809,ID_8lrn2I
568,2928,2047,828,1108,1550,1777,2209,2410,2556,2647,2588,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.31092705654845,70.87279063927915,ID_8lrn2I
568,2928,2047,965,1378,1720,1777,2209,2410,2740,2647,2588,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.31092745871796,70.87288347174018,ID_8lrn2I
541,5000,3839,1030,1664,2370,2674,3025,3250,3438,3457,3343,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.267127394039775,70.96548978311921,ID_VQivtu
541,5000,3839,993,1550,2286,2674,3025,3250,3340,3457,3343,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26703662691031,70.96538400534457,ID_VQivtu
541,5000,3839,1030,1576,2280,2674,3025,3250,3414,3457,3343,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26703698896737,70.96547681624267,ID_VQivtu
355,1993,1565,494,727,967,1186,1185,1358,1366,1529,1416,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.241685798456494,70.63788826253821,ID_EDeZre
355,1993,1565,534,730,1002,1186,1185,1358,1432,1529,1416,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.24168628684218,70.63798107149123,ID_EDeZre
355,1896,1493,519,706,947,1031,1080,1218,1322,1390,1416,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.24159540291116,70.63787545273655,ID_EDeZre
355,1896,1493,496,661,941,1031,1080,1218,1322,1390,1416,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.241595891293656,70.6379682616513,ID_EDeZre
610,3595,3091,834,1242,1770,2117,2303,2514,2580,2757,2861,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26223601368151,70.79300628435081,ID_P2IY02
610,3595,3091,736,1066,1476,2117,2303,2514,2432,2757,2861,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26214561336582,70.792993392259,ID_P2IY02
559,3646,2967,979,1428,2010,2211,2353,2536,2736,2724,2750,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26304267827848,70.66271320151206,ID_r1D6b6
559,3646,2967,889,1360,1926,2211,2353,2536,2646,2724,2750,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.262951801539174,70.662607544313,ID_r1D6b6
559,3646,2967,960,1364,1970,2211,2353,2536,2712,2724,2750,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26295228215474,70.66270036177826,ID_r1D6b6
371,2898,2222,621,941,1318,1549,1724,1860,1938,2083,2065,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.27895815625323,70.6660882741266,ID_uoeAte
371,2915,2255,645,918,1354,1590,1731,1954,1976,2145,2065,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.27895863695098,70.66618109835039,ID_uoeAte
535,3475,2945,676,1120,1694,1965,2153,2348,2470,2523,2742,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.303865399530835,70.66156327118242,ID_lwulNy
444,3213,2677,558,998,1512,1728,1995,2190,2272,2382,2446,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.30377451918977,70.66145755906823,ID_lwulNy
535,3475,2945,651,1082,1576,1965,2153,2348,2352,2523,2742,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.30377500396348,70.66155039402126,ID_lwulNy
657,3253,2617,843,1224,1746,2159,2352,2498,2452,2610,2585,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.31990266489575,70.6709927465201,ID_5L5t5p
634,3308,2671,874,1286,1908,2272,2379,2561,2486,2681,2560,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.319903147380856,70.67108558816392,ID_5L5t5p
657,3338,2743,913,1362,1838,2287,2431,2622,2632,2721,2585,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.31981226921137,70.67097985060559,ID_5L5t5p
460,2586,2018,695,1022,1302,1412,1798,2056,2230,2173,2080,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.35340631618193,70.6868201995013,ID_04zgS5
460,2586,2018,576,907,1052,1412,1798,2056,2332,2173,2080,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.35340679546934,70.68691305515728,ID_04zgS5
882,3668,3249,1504,2060,2526,2642,2663,2920,2862,2890,2852,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25033224994233,70.66777176920671,ID_g3hTcY
1083,3996,3568,1542,1998,2558,2795,3051,3056,2946,3194,3523,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25024185348718,70.66775893920867,ID_g3hTcY
508,3272,2448,958,1426,1982,1952,2199,2303,2576,2452,2466,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26095246941591,70.6956204317137,ID_j10qDN
508,3156,2482,914,1322,1860,1978,2040,2236,2438,2450,2466,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26095293688924,70.69571324754645,ID_j10qDN
536,3146,2468,835,1158,1572,1936,2004,2229,2198,2424,2329,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25826082278117,70.71740472776253,ID_TmW670
536,3146,2468,889,1296,1728,1936,2004,2229,2308,2424,2329,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.2581704247853,70.71739187017351,ID_TmW670
536,3146,2468,863,1260,1722,1936,2004,2229,2324,2424,2329,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25817088346314,70.71748468428865,ID_TmW670
791,3736,3221,1132,1758,2236,2698,2703,2865,2778,3045,2887,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.256760099138276,70.76189627306127,ID_HxYGDp
791,3736,3221,1196,1820,2430,2698,2703,2865,2910,3045,2887,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25676054022218,70.76198908544897,ID_HxYGDp
667,3434,3061,847,1350,1948,2301,2539,2648,2612,2748,2456,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25254412176415,70.67634005436302,ID_KlCqW5
688,3535,3011,793,1320,1964,2122,2476,2683,2770,2816,2788,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.252453250730014,70.67623440615321,ID_KlCqW5
688,3590,3152,871,1452,2150,2398,2541,2703,2770,2765,2788,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.252453725048966,70.67632721882002,ID_KlCqW5
493,3564,2678,922,1272,1824,2199,2389,2612,2570,2871,2768,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26146399872904,70.65441986476952,ID_NJEMR9
493,3564,2678,926,1356,1956,2199,2389,2612,2876,2871,2768,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26146448242463,70.65451268178786,ID_NJEMR9
493,3545,2622,919,1280,1754,2126,2261,2444,2502,2818,2768,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.261373602867415,70.65440702988342,ID_NJEMR9
493,3545,2622,955,1380,2008,2126,2261,2444,2902,2818,2768,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26137408655984,70.65449984686344,ID_NJEMR9
413,2173,1751,533,819,1054,1263,1264,1417,1502,1567,1684,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25856649286036,70.65308103458196,ID_FrPl8D
413,2173,1751,637,903,1226,1263,1264,1417,1566,1567,1684,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25856697681869,70.65317385039381,ID_FrPl8D
413,2315,1869,691,1030,1304,1372,1428,1563,1768,1709,1684,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25847609700772,70.65306820293043,ID_FrPl8D
413,2315,1869,672,922,1240,1372,1428,1563,1578,1709,1684,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25847658096289,70.65316101870397,ID_FrPl8D
635,3850,3222,1054,1572,2208,2477,2595,2781,2954,3034,3019,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25442374687289,70.65546091950011,ID_nWtC78
635,3850,3222,1030,1496,2212,2477,2595,2781,2940,3034,3019,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.254424229521554,70.65555373348928,ID_nWtC78
635,3910,3292,1040,1584,2318,2590,2696,2883,2980,3095,3019,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.254333350886604,70.65544809072225,ID_nWtC78
635,3910,3292,1026,1518,2266,2590,2696,2883,2922,3095,3019,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.254333833532115,70.65554090467313,ID_nWtC78
516,3469,2959,736,1314,1948,2131,2239,2399,2534,2486,2796,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.24868668601569,70.64657826594143,ID_ir7u1A
516,3878,3384,804,1396,2254,2544,2669,2831,2830,2944,2796,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.24868717162925,70.64667107768489,ID_ir7u1A
516,3469,2959,774,1344,2016,2131,2239,2399,2626,2486,2796,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.24859629026032,70.64656544610645,ID_ir7u1A
516,3878,3384,792,1370,2198,2544,2669,2831,2774,2944,2796,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.248596775870716,70.64665825781164,ID_ir7u1A
445,2673,2147,748,1009,1344,1702,1794,1886,1832,2005,1883,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25163321300646,70.64004038959513,ID_D2qffw
445,2763,2194,724,1004,1352,1723,1720,1816,1804,2057,1883,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25154281751335,70.64002756969184,ID_D2qffw
425,2419,1888,645,852,1194,1369,1442,1577,1682,1796,1699,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.24800712964169,70.63757861854631,ID_tXuDrC
425,2338,1815,669,876,1184,1314,1369,1504,1708,1696,1699,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.24800761872381,70.63767143020226,ID_tXuDrC
890,2463,2139,929,1274,1704,1910,1964,2104,2244,2134,2587,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.234326837216834,70.64704678313069,ID_PS9fJP
890,3026,2591,987,1418,1968,2396,2501,2675,2696,2724,2587,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.23423595710255,70.64694117084986,ID_PS9fJP
890,3323,2976,1034,1516,2142,2887,2858,3017,2802,3014,2587,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.23423644126345,70.64703397642421,ID_PS9fJP
547,3906,3105,760,1296,2074,2186,2564,2802,2730,2969,3086,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.41618570048816,70.93770438130836,ID_rTFksd
547,4107,3310,808,1336,2082,2362,2589,2772,2810,2930,3086,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.41609529786891,70.93769128605459,ID_rTFksd
623,3127,2708,724,1066,1484,2288,2456,2707,2448,2742,2684,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.30076197496065,70.90435926750807,ID_ZbOZSy
623,3127,2708,995,1498,2036,2288,2456,2707,2780,2742,2684,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.30076236383302,70.90445209468402,ID_ZbOZSy
551,3259,2858,911,1440,2060,2392,2511,2788,2796,2786,2611,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.30067196076358,70.90443912117516,ID_ZbOZSy
856,5293,4512,1368,2262,3330,3653,3744,3851,3858,3856,3592,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.422104098699435,71.01718318455593,ID_Ymmttd
816,5253,4477,1242,2076,3146,3455,3622,3781,3732,3801,3478,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.4220136940961,71.01717005105378,ID_Ymmttd
596,4449,3808,1098,1744,2546,2811,2904,3035,3124,3240,3236,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.43487042027635,70.97772979604196,ID_X2cwcU
596,4449,3808,1080,1710,2592,2811,2904,3035,3194,3240,3236,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.43487079144887,70.97782267851173,ID_X2cwcU
596,4449,3808,937,1528,2412,2811,2904,3035,3064,3240,3236,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.43478038798851,70.97780954921177,ID_X2cwcU
537,3848,3248,926,1548,2322,2471,2588,2826,2968,2925,3024,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.46016962256327,71.04806661210502,ID_ZpdUDJ
537,3848,3248,886,1366,2004,2471,2588,2826,2796,2925,3024,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.46016996788005,71.04815950312317,ID_ZpdUDJ
595,3484,2623,1005,1562,2214,2345,2636,2855,2986,2965,2843,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.33947639134699,70.85230277299667,ID_JM4yjC
595,3293,2437,921,1350,1924,2306,2550,2734,2814,2884,2843,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.33947680404982,70.8523956182829,ID_JM4yjC
595,3484,2623,965,1398,1982,2345,2636,2855,2912,2965,2843,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.33938599020455,70.8522897846004,ID_JM4yjC
505,2288,1829,612,913,1362,1637,1864,1912,1900,1943,2063,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.32708482591658,70.84903875840895,ID_w0AL9Y
454,2399,1893,607,936,1396,1700,1874,2030,1986,1975,2093,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.32708523883699,70.84913159847684,ID_w0AL9Y
439,2246,1811,624,929,1428,1592,1734,1809,1878,1858,1852,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.32699483763811,70.8491186229568,ID_w0AL9Y
1079,4976,4202,1748,2562,3230,3409,3689,3766,4028,3883,3890,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.40029124387188,70.87581777074503,ID_c8mgMa
1079,4976,4202,1554,2352,3130,3409,3689,3766,3862,3883,3890,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.40029165253195,70.8759106414876,ID_c8mgMa
1079,4976,4202,1568,2272,3046,3409,3689,3766,3762,3883,3890,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.40020084278095,70.87580471583229,ID_c8mgMa
1079,4976,4202,1656,2446,3226,3409,3689,3766,3936,3883,3890,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.40020125143837,70.8758975865363,ID_c8mgMa
869,3476,2891,1136,1612,2174,2502,2635,2789,2728,3008,3062,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.438746384193955,70.8688475520169,ID_oryuAl
869,3207,2692,1136,1588,2206,2420,2519,2687,2690,2762,3062,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.4387467989602,70.86894043956426,ID_oryuAl
773,3922,3343,1270,1910,2548,2762,2908,2972,3130,3131,2982,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.419623609542725,71.00651951180934,ID_6c4F7C
773,3922,3343,1236,1924,2574,2762,2908,2972,3146,3131,2982,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.41962396800639,71.0066123867468,ID_6c4F7C
773,3922,3343,1178,1788,2376,2762,2908,2972,2956,3131,2982,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.419533563637685,71.006599259923,ID_6c4F7C
630,3584,2803,966,1500,2032,2190,2771,2972,3226,3027,3197,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.40663197557619,70.87961091371466,ID_iwsHA3
630,3584,2803,899,1428,1798,2190,2771,2972,2976,3027,3197,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.4065415744529,70.8795978513084,ID_iwsHA3
630,3825,2995,886,1432,1818,2587,2914,3154,3040,3276,3197,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.40654198215517,70.87969072463228,ID_iwsHA3
877,4011,3823,1030,1584,2438,3081,3210,3254,3196,3352,3352,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.27002712872319,70.75924168557307,ID_BF2HCH
877,4036,4001,1088,1704,2654,3067,3272,3380,3150,3337,3352,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.27002757201592,70.75933450368981,ID_BF2HCH
877,4011,3823,968,1532,2462,3081,3210,3254,3112,3352,3352,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.269936729541485,70.75922879998265,ID_BF2HCH
877,4036,4001,1024,1650,2576,3067,3272,3380,3166,3337,3352,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26993717283131,70.75932161806114,ID_BF2HCH
581,2831,2300,704,1034,1338,1599,1601,1761,1676,1996,2134,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25791902326478,70.70316558284365,ID_NlQRmI
581,2800,2229,794,1158,1484,1659,1687,1812,1898,2048,2134,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25791948750459,70.70325839719958,ID_NlQRmI
581,2987,2408,727,1072,1384,1716,1856,2096,1892,2119,2134,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.257828625728365,70.70315273137538,ID_NlQRmI
581,3025,2362,758,1128,1416,1807,1977,2189,2032,2206,2134,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.257829089965135,70.70324554569305,ID_NlQRmI
665,3523,2954,954,1378,1786,2244,2424,2599,2670,2760,2756,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.300903197602786,70.63090019998126,ID_iqBtNp
665,3523,2954,800,1212,1550,2244,2424,2599,2352,2760,2756,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.30090369414468,70.63099303440144,ID_iqBtNp
665,3604,3065,982,1464,1900,2229,2461,2654,2800,2780,2756,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.30081280305611,70.6308873381141,ID_iqBtNp
665,3604,3065,960,1448,1822,2229,2461,2654,2640,2780,2756,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.30081329959477,70.63098017249584,ID_iqBtNp
482,3270,2300,1086,1398,2012,2053,2411,2719,3108,2966,2631,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.97255222070724,70.07656041906478,ID_KpCwaD
482,3270,2300,839,1148,1692,2053,2411,2719,3128,2966,2631,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.97246184491715,70.07654808324511,ID_KpCwaD
482,3568,2557,977,1478,2002,2567,2776,2954,3196,3387,2631,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.97246252530985,70.07664078612247,ID_KpCwaD
325,2838,1971,548,899,1252,1734,2219,2500,2754,2850,2327,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.69296554968977,69.68994223616943,ID_WNbfeI
325,2578,1800,496,794,1136,1508,2041,2283,2518,2579,2327,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.692966347732444,69.69003482272889,ID_WNbfeI
325,2340,1625,391,646,857,1317,1780,2011,2462,2336,2327,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.69287598850516,69.69002289272242,ID_WNbfeI
326,2307,1635,479,739,951,1318,1578,1858,1934,2068,2095,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.667647411432526,69.6124425853547,ID_izdOKd
326,2307,1635,558,799,1060,1318,1578,1858,2016,2068,2095,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.66755705643058,69.61243070854786,ID_izdOKd
439,2592,1873,554,877,1166,1618,1981,2195,2260,2414,2675,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.667557880881276,69.61252328405922,ID_izdOKd
388,2805,2164,765,1180,1662,1949,2213,2347,2666,2510,2413,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.641858440706386,69.71926848683165,ID_7VDgQ4
388,2794,2055,681,1078,1532,1845,2048,2304,2510,2526,2413,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.64185922213343,69.71936105261511,ID_7VDgQ4
388,2805,2164,703,1078,1484,1949,2213,2347,2372,2510,2413,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.64176807898869,69.7192565910517,ID_7VDgQ4
312,2950,2049,689,1002,1332,1729,2104,2362,2364,2661,2272,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.9057313762403,69.93220409471331,ID_J4g72a
312,2713,1880,675,973,1308,1540,1933,2194,2394,2457,2272,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.90564027791125,69.9320992018857,ID_J4g72a
312,2950,2049,637,903,1286,1729,2104,2362,2530,2661,2272,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.90564100680005,69.93219187725856,ID_J4g72a
326,2397,1575,523,791,1058,1433,2016,2386,2464,2672,2717,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.716752160153426,69.55389302928228,ID_lPVZYk
326,2397,1575,504,791,1007,1433,2016,2386,2432,2672,2717,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.716753012222966,69.55398562446635,ID_lPVZYk
326,2397,1575,471,786,1016,1433,2016,2386,2492,2672,2717,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.71666180954091,69.55388113182002,ID_lPVZYk
326,2397,1575,504,828,1042,1433,2016,2386,2540,2672,2717,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.716662661604694,69.55397372696669,ID_lPVZYk
370,2853,1894,632,897,1440,1811,2126,2326,2384,2658,2350,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.75392754627253,69.60282507407756,ID_2UCYjG
370,2853,1894,611,920,1422,1811,2126,2326,2402,2658,2350,0.000558,42.5624038762,50.096953,135.0,Sentinel-2B,2019-12-18,45.75392838403286,69.60291768509074,ID_2UCYjG
